# Lambda (Å), Efficiency
3.139999999999999680e+00,9.342314331477310496e-01
3.149999999999999911e+00,9.342376181479136177e-01
3.159999999999999698e+00,9.341398247603613925e-01
3.169999999999999929e+00,9.339683947598984570e-01
3.179999999999999716e+00,9.338606540074723128e-01
3.189999999999999947e+00,9.337734147577140265e-01
3.199999999999999734e+00,9.336931962479079194e-01
3.209999999999999964e+00,9.336090203028111212e-01
3.219999999999999751e+00,9.334713808857785233e-01
3.229999999999999982e+00,9.333629885365981593e-01
3.239999999999999769e+00,9.333467294722113117e-01
3.250000000000000000e+00,9.333423782206271557e-01
3.259999999999999787e+00,9.333579521592383355e-01
3.270000000000000018e+00,9.332340386175157487e-01
3.279999999999999805e+00,9.329706653779026304e-01
3.290000000000000036e+00,9.329086781091856517e-01
3.299999999999999822e+00,9.329730134036543499e-01
3.310000000000000053e+00,9.327911110772596492e-01
3.319999999999999840e+00,9.325138148741403121e-01
3.330000000000000071e+00,9.325429411562566884e-01
3.339999999999999858e+00,9.326432098817193372e-01
3.349999999999999645e+00,9.326839113633313971e-01
3.359999999999999876e+00,9.327171163344414317e-01
3.369999999999999662e+00,9.325284621268683516e-01
3.379999999999999893e+00,9.323343070151663969e-01
3.389999999999999680e+00,9.322025635163713186e-01
3.399999999999999911e+00,9.320866231389017820e-01
3.409999999999999698e+00,9.321613983957334204e-01
3.419999999999999929e+00,9.322224423558356232e-01
3.429999999999999716e+00,9.321764322388623736e-01
3.439999999999999947e+00,9.321227325078946802e-01
3.449999999999999734e+00,9.320179789298600470e-01
3.459999999999999964e+00,9.318974466174029248e-01
3.469999999999999751e+00,9.316838007723489135e-01
3.479999999999999982e+00,9.314833162246196618e-01
3.489999999999999769e+00,9.313465845702070256e-01
3.500000000000000000e+00,9.312575503293206713e-01
3.509999999999999787e+00,9.314419055712153117e-01
3.520000000000000018e+00,9.315857408768453141e-01
3.529999999999999805e+00,9.314578798835717599e-01
3.540000000000000036e+00,9.313385774755714719e-01
3.549999999999999822e+00,9.312918523807266480e-01
3.560000000000000053e+00,9.312370855430590622e-01
3.569999999999999840e+00,9.310265081493411810e-01
3.580000000000000071e+00,9.308177353487907535e-01
3.589999999999999858e+00,9.308453327681204259e-01
3.599999999999999645e+00,9.308736200724249121e-01
3.609999999999999876e+00,9.307651747155496480e-01
3.619999999999999662e+00,9.306472935500569310e-01
3.629999999999999893e+00,9.306530012115110662e-01
3.639999999999999680e+00,9.306801097406581791e-01
